Player,Team,Pos,G,GS,QBrec,Cmp,Pass Attempts,Cmp%,Pass Yards,Pass TD,TD%,Int,Int%,Passing 1D,Pass (Lng),Pass Yards/Att,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Rush Att,Rush Yards,Rush TD,Rushing 1D,Rush (Lng),Rush Yards/Att,Rush Yards/Game,RB Fumble,Tgt,Rec,Receiving Yards,Y/R,Receiving TD,Receiving 1D,Receiving (Lng),Y/Tgt,R/G,Receiving Yards/Game,WR Fumble,Yards after Catch,Win,Loss,Tie,Full Name,Conference,Division
Tua Tagovailoa,MIA,QB,1.0,1.0,1-0-0,23.0,37.0,0.00622,338.0,1.0,0.00027000000000000006,0.0,0.0,11.0,80.0,9.1,9.68,14.7,338.0,101.0,49.3,3.0,19.0,0.00075,7.98,8.48,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Miami Dolphins,AFC,AFC East
Matthew Stafford,LAR,QB,1.0,1.0,0-1-0,34.0,49.0,0.006940000000000001,317.0,1.0,0.0002,1.0,0.0002,15.0,63.0,6.5,5.96,9.3,317.0,85.2,62.9,2.0,13.0,0.000392,5.96,5.47,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,Los Angeles Rams,NFC,NFC West
Patrick Mahomes,KAN,QB,1.0,1.0,1-0-0,20.0,28.0,0.0071400000000000005,291.0,1.0,0.00036,1.0,0.00036,15.0,35.0,10.4,9.5,14.6,291.0,101.9,69.6,2.0,10.0,0.000667,9.37,8.53,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Kansas City Chiefs,AFC,AFC West
Baker Mayfield,TAM,QB,1.0,1.0,1-0-0,24.0,30.0,0.008,289.0,4.0,0.00133,0.0,0.0,15.0,32.0,9.6,12.3,12.0,289.0,146.4,86.2,1.0,9.0,0.00032300000000000004,9.03,11.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Tampa Bay Buccaneers,NFC,NFC South
Jalen Hurts,PHI,QB,1.0,1.0,1-0-0,20.0,34.0,0.00588,278.0,2.0,0.00059,2.0,0.00059,14.0,67.0,8.2,6.71,13.9,278.0,80.3,38.8,2.0,12.0,0.000556,7.39,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Philadelphia Eagles,NFC,NFC East
Lamar Jackson,BAL,QB,1.0,1.0,0-1-0,26.0,41.0,0.00634,273.0,1.0,0.00024,0.0,0.0,11.0,49.0,6.7,7.15,10.5,273.0,90.8,65.1,1.0,6.0,0.00023799999999999998,6.36,6.83,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,Baltimore Ravens,AFC,AFC North
Jordan Love,GNB,QB,1.0,1.0,0-1-0,17.0,34.0,0.005,260.0,2.0,0.00059,1.0,0.00029,9.0,70.0,7.6,7.5,15.3,260.0,83.0,20.4,1.0,5.0,0.000286,7.29,7.14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,Green Bay Packers,NFC,NFC North
Gardner Minshew II,LVR,QB,1.0,1.0,0-1-0,25.0,33.0,0.00758,257.0,1.0,0.0003,1.0,0.0003,12.0,33.0,7.8,7.03,10.3,257.0,95.1,29.5,4.0,32.0,0.001081,6.08,5.41,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,Las Vegas Raiders,AFC,AFC West
C.J. Stroud,HOU,QB,1.0,1.0,1-0-0,24.0,32.0,0.0075,234.0,2.0,0.00063,0.0,0.0,13.0,55.0,7.3,8.56,9.8,234.0,115.9,73.6,4.0,30.0,0.001111,5.67,6.78,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Houston Texans,AFC,AFC South
Josh Allen,BUF,QB,1.0,1.0,1-0-0,18.0,23.0,0.007829999999999998,232.0,2.0,0.0008699999999999999,0.0,0.0,11.0,28.0,10.1,11.83,12.9,232.0,137.7,89.9,2.0,10.0,0.0008,8.88,10.48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,0,Buffalo Bills,AFC,AFC East
